Recency,Frequency,Monetary
0.871313672922252,0.004048582995951417,0.015109171244357136
0.002680965147453083,0.024291497975708502,0.030297172089387904
0.19839142091152814,0.012145748987854251,0.02144246187979173
0.04825737265415549,0.0,0.021302598363889345
0.8284182305630027,0.0,0.01628756277163748
0.09383378016085792,0.04048582995951418,0.02055503861928034
0.5442359249329759,0.0,0.01542279817595986
0.6193029490616622,0.0,0.018912866862019827
0.5710455764075067,0.0,0.016728050035124453
0.058981233243967826,0.008097165991902834,0.025016364101838537
0.08579088471849866,0.0,0.036984367811798466
0.002680965147453083,0.004048582995951417,0.01922529566826587
0.01876675603217158,0.020242914979757085,0.037117782594163394
0.13672922252010725,0.008097165991902834,0.024489999441462146
0.7667560321715818,0.0,0.015778359495046544
0.005361930294906166,0.048582995951417005,0.03327338595335451
0.2922252010723861,0.004048582995951417,0.0170543629999156
0.01876675603217158,0.012145748987854251,0.01973640184983507
0.7774798927613941,0.008097165991902834,0.01623925012857823
0.00804289544235925,0.0,0.01570435763478073
0.13404825737265416,0.012145748987854251,0.02760382152654208
0.11796246648793565,0.004048582995951417,0.021762149916140033
0.19034852546916892,0.008097165991902834,0.01968333194433016
0.8310991957104558,0.0,0.016393984494495934
0.064343163538874,0.0,0.01772718086565614
0.005361930294906166,0.008097165991902834,0.01671402492065503
0.8418230563002681,0.004048582995951417,0.020846500231784394
0.34584450402144773,0.0,0.02923513967763027
0.21715817694369974,0.008097165991902834,0.01810550656651983
0.05630026809651474,0.016194331983805668,0.024696147480774047
0.010723860589812333,0.020242914979757085,0.021466142475076787
0.4932975871313673,0.020242914979757085,0.021590712273190905
0.07506702412868632,0.008097165991902834,0.017104261397123406
0.903485254691689,0.004048582995951417,0.016525425893920444
0.040214477211796246,0.020242914979757085,0.024907933757058586
0.21179624664879357,0.0,0.017046751380002546
0.05630026809651474,0.0,0.016733300643305218
0.19034852546916892,0.012145748987854251,0.02068609238991298
0.16890080428954424,0.004048582995951417,0.019593261108692344
0.040214477211796246,0.056680161943319846,0.025674804463298864
0.09383378016085792,0.004048582995951417,0.02360141329457515
0.12064343163538874,0.0,0.02087307042351793
0.3163538873994638,0.012145748987854251,0.019015940881675783
0.8096514745308311,0.0,0.01540623585485275
0.8632707774798928,0.0,0.015904162657498423
0.13136729222520108,0.004048582995951417,0.01655291229916203
0.3967828418230563,0.0,0.02113641132912098
0.05630026809651474,0.008097165991902834,0.026670199961836182
0.13136729222520108,0.016194331983805668,0.021128412080416055
0.08579088471849866,0.032388663967611336,0.025126098288918413
0.20911528150134048,0.024291497975708502,0.0540726659504931
0.8042895442359249,0.008097165991902834,0.017509227767682788
0.19839142091152814,0.008097165991902834,0.019432571354972297
0.1769436997319035,0.016194331983805668,0.017555285115952984
0.579088471849866,0.008097165991902834,0.017091046779218796
0.06166219839142091,0.10121457489878542,0.4511050503979097
0.005361930294906166,0.04453441295546559,0.027720497792894514
0.3002680965147453,0.0,0.01746517904133409
0.16890080428954424,0.0,0.017224884429356678
0.040214477211796246,0.016194331983805668,0.01795038457181026
0.2546916890080429,0.008097165991902834,0.017940834807937858
0.0,0.032388663967611336,0.021625246474648283
0.4343163538873995,0.004048582995951417,0.021314614856437267
0.2064343163538874,0.0,0.01784794485381373
0.5201072386058981,0.0,0.017162652388771238
0.029490616621983913,0.016194331983805668,0.017605394947047263
0.06702412868632708,0.04453441295546559,0.042867621419873686
0.021447721179624665,0.012145748987854251,0.028325198708209428
0.1126005361930295,0.0,0.01601269871922161
0.09383378016085792,0.06882591093117409,0.03771987582487847
0.1126005361930295,0.016194331983805668,0.03293769941959636
0.0,0.024291497975708502,0.062244374228816915
0.225201072386059,0.012145748987854251,0.0178056228375379
0.21179624664879357,0.004048582995951417,0.04270090580038914
0.26541554959785524,0.0,0.016902870620257162
0.002680965147453083,0.07287449392712551,0.03236450215336603
